Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6376


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,31/03/2016 , 13:00:00,4107,4107
2,31/03/2016 , 13:15:00,3600,3600
3,31/03/2016 , 13:30:00,5014,5014
4,31/03/2016 , 13:45:00,2219,2219
5,31/03/2016 , 14:00:00,2298,2298
6,31/03/2016 , 14:15:00,1909,1909
7,31/03/2016 , 14:30:00,1871,1871
8,31/03/2016 , 14:45:00,1405,1405
9,31/03/2016 , 15:00:00,1593,1593
10,31/03/2016 , 15:15:00,1287,1287
11,31/03/2016 , 15:30:00,1375,1375
12,31/03/2016 , 15:45:00,1459,1459
13,31/03/2016 , 16:00:00,1665,1665
14,31/03/2016 , 16:15:00,1134,1134
15,31/03/2016 , 16:30:00,465,465
16,31/03/2016 , 16:45:00,409,409
17,31/03/2016 , 17:00:00,423,423
18,31/03/2016 , 17:15:00,339,339
19,31/03/2016 , 17:30:00,242,242
20,31/03/2016 , 17:45:00,167,167
21,31/03/2016 , 18:00:00,139,139
22,31/03/2016 , 18:15:00,114,114
23,31/03/2016 , 18:30:00,59,59
24,31/03/2016 , 18:45:00,31,31
25,31/03/2016 , 19:00:00,5,5
26,31/03/2016 , 19:15:00,0,0
27,31/03/2016 , 19:30:00,0,0
28,31/03/2016 , 19:45:00,0,0
29,31/03/2016 , 20:00:00,0,0
30,31/03/2016 , 20:15:00,0,0
31,31/03/2016 , 20:30:00,0,0
32,31/03/2016 , 20:45:00,0,0
33,31/03/2016 , 21:00:00,0,0
34,31/03/2016 , 21:15:00,0,0
35,31/03/2016 , 21:30:00,0,0
36,31/03/2016 , 21:45:00,0,0
37,31/03/2016 , 22:00:00,0,0
38,31/03/2016 , 22:15:00,0,0
39,31/03/2016 , 22:30:00,0,0
40,31/03/2016 , 22:45:00,0,0
41,31/03/2016 , 23:00:00,0,0
42,31/03/2016 , 23:15:00,0,0
43,31/03/2016 , 23:30:00,0,0
44,31/03/2016 , 23:45:00,0,0
45,31/03/2016 , 24:00:00,0,0
46,01/04/2016 , 00:15:00,0,0
47,01/04/2016 , 00:30:00,0,0
48,01/04/2016 , 00:45:00,0,0
49,01/04/2016 , 01:00:00,0,0
50,01/04/2016 , 01:15:00,0,0
51,01/04/2016 , 01:30:00,0,0
52,01/04/2016 , 01:45:00,0,0
53,01/04/2016 , 02:00:00,0,0
54,01/04/2016 , 02:15:00,0,0
55,01/04/2016 , 02:30:00,0,0
56,01/04/2016 , 02:45:00,0,0
57,01/04/2016 , 03:00:00,0,0
58,01/04/2016 , 03:15:00,0,0
59,01/04/2016 , 03:30:00,0,0
60,01/04/2016 , 03:45:00,0,0
61,01/04/2016 , 04:00:00,0,0
62,01/04/2016 , 04:15:00,0,0
63,01/04/2016 , 04:30:00,0,0
64,01/04/2016 , 04:45:00,0,0
65,01/04/2016 , 05:00:00,0,0
66,01/04/2016 , 05:15:00,0,0
67,01/04/2016 , 05:30:00,0,0
68,01/04/2016 , 05:45:00,0,0
69,01/04/2016 , 06:00:00,0,0
70,01/04/2016 , 06:15:00,0,0
71,01/04/2016 , 06:30:00,5,5
72,01/04/2016 , 06:45:00,26,26
73,01/04/2016 , 07:00:00,55,55
74,01/04/2016 , 07:15:00,97,97
75,01/04/2016 , 07:30:00,205,205
76,01/04/2016 , 07:45:00,173,173
77,01/04/2016 , 08:00:00,287,287
78,01/04/2016 , 08:15:00,559,559
79,01/04/2016 , 08:30:00,871,871
80,01/04/2016 , 08:45:00,1132,1132
81,01/04/2016 , 09:00:00,1340,1340
82,01/04/2016 , 09:15:00,1780,1780
83,01/04/2016 , 09:30:00,2074,2074
84,01/04/2016 , 09:45:00,2706,2706
85,01/04/2016 , 10:00:00,2447,2447
86,01/04/2016 , 10:15:00,2818,2818
87,01/04/2016 , 10:30:00,3697,3697
88,01/04/2016 , 10:45:00,3912,3912
89,01/04/2016 , 11:00:00,4128,4128
90,01/04/2016 , 11:15:00,2671,2671
91,01/04/2016 , 11:30:00,3442,3442
92,01/04/2016 , 11:45:00,4944,4944
93,01/04/2016 , 12:00:00,5292,5292
94,01/04/2016 , 12:15:00,4465,4465
95,01/04/2016 , 12:30:00,3247,3247
96,01/04/2016 , 12:45:00,3903,3903
97,01/04/2016 , 13:00:00,4276,4276
98,01/04/2016 , 13:15:00,4303,4303
99,01/04/2016 , 13:30:00,3145,3145
100,01/04/2016 , 13:45:00,2621,2621
101,01/04/2016 , 14:00:00,2217,2217
102,01/04/2016 , 14:15:00,1136,1136
103,01/04/2016 , 14:30:00,875,875
104,01/04/2016 , 14:45:00,711,711
105,01/04/2016 , 15:00:00,445,445
106,01/04/2016 , 15:15:00,1339,1339
107,01/04/2016 , 15:30:00,1073,1073
108,01/04/2016 , 15:45:00,304,304
