Site Name ,TANKS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,6383


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/07/2016 , 16:45:00,745,745
2,21/07/2016 , 17:00:00,513,513
3,21/07/2016 , 17:15:00,544,544
4,21/07/2016 , 17:30:00,635,635
5,21/07/2016 , 17:45:00,573,573
6,21/07/2016 , 18:00:00,434,434
7,21/07/2016 , 18:15:00,270,270
8,21/07/2016 , 18:30:00,190,190
9,21/07/2016 , 18:45:00,138,138
10,21/07/2016 , 19:00:00,77,77
11,21/07/2016 , 19:15:00,33,33
12,21/07/2016 , 19:30:00,9,9
13,21/07/2016 , 19:45:00,0,0
14,21/07/2016 , 20:00:00,0,0
15,21/07/2016 , 20:15:00,0,0
16,21/07/2016 , 20:30:00,0,0
17,21/07/2016 , 20:45:00,0,0
18,21/07/2016 , 21:00:00,0,0
19,21/07/2016 , 21:15:00,0,0
20,21/07/2016 , 21:30:00,0,0
21,21/07/2016 , 21:45:00,0,0
22,21/07/2016 , 22:00:00,0,0
23,21/07/2016 , 22:15:00,0,0
24,21/07/2016 , 22:30:00,0,0
25,21/07/2016 , 22:45:00,0,0
26,21/07/2016 , 23:00:00,0,0
27,21/07/2016 , 23:15:00,0,0
28,21/07/2016 , 23:30:00,0,0
29,21/07/2016 , 23:45:00,0,0
30,21/07/2016 , 24:00:00,0,0
31,22/07/2016 , 00:15:00,0,0
32,22/07/2016 , 00:30:00,0,0
33,22/07/2016 , 00:45:00,0,0
34,22/07/2016 , 01:00:00,0,0
35,22/07/2016 , 01:15:00,0,0
36,22/07/2016 , 01:30:00,0,0
37,22/07/2016 , 01:45:00,0,0
38,22/07/2016 , 02:00:00,0,0
39,22/07/2016 , 02:15:00,0,0
40,22/07/2016 , 02:30:00,0,0
41,22/07/2016 , 02:45:00,0,0
42,22/07/2016 , 03:00:00,0,0
43,22/07/2016 , 03:15:00,0,0
44,22/07/2016 , 03:30:00,0,0
45,22/07/2016 , 03:45:00,0,0
46,22/07/2016 , 04:00:00,0,0
47,22/07/2016 , 04:15:00,0,0
48,22/07/2016 , 04:30:00,0,0
49,22/07/2016 , 04:45:00,0,0
50,22/07/2016 , 05:00:00,0,0
51,22/07/2016 , 05:15:00,0,0
52,22/07/2016 , 05:30:00,0,0
53,22/07/2016 , 05:45:00,0,0
54,22/07/2016 , 06:00:00,0,0
55,22/07/2016 , 06:15:00,10,10
56,22/07/2016 , 06:30:00,32,32
57,22/07/2016 , 06:45:00,64,64
58,22/07/2016 , 07:00:00,96,96
59,22/07/2016 , 07:15:00,227,227
60,22/07/2016 , 07:30:00,266,266
61,22/07/2016 , 07:45:00,335,335
62,22/07/2016 , 08:00:00,801,801
63,22/07/2016 , 08:15:00,976,976
64,22/07/2016 , 08:30:00,1087,1087
65,22/07/2016 , 08:45:00,1162,1162
66,22/07/2016 , 09:00:00,1816,1816
67,22/07/2016 , 09:15:00,2235,2235
68,22/07/2016 , 09:30:00,1922,1922
69,22/07/2016 , 09:45:00,2136,2136
70,22/07/2016 , 10:00:00,3101,3101
71,22/07/2016 , 10:15:00,1449,1449
72,22/07/2016 , 10:30:00,1028,1028
73,22/07/2016 , 10:45:00,1111,1111
74,22/07/2016 , 11:00:00,1441,1441
75,22/07/2016 , 11:15:00,1740,1740
76,22/07/2016 , 11:30:00,3618,3618
77,22/07/2016 , 11:45:00,1904,1904
78,22/07/2016 , 12:00:00,1556,1556
79,22/07/2016 , 12:15:00,1954,1954
80,22/07/2016 , 12:30:00,1815,1815
81,22/07/2016 , 12:45:00,1642,1642
82,22/07/2016 , 13:00:00,2241,2241
83,22/07/2016 , 13:15:00,2153,2153
84,22/07/2016 , 13:30:00,1601,1601
85,22/07/2016 , 13:45:00,2521,2521
86,22/07/2016 , 14:00:00,1401,1401
87,22/07/2016 , 14:15:00,904,904
88,22/07/2016 , 14:30:00,1007,1007
89,22/07/2016 , 14:45:00,887,887
90,22/07/2016 , 15:00:00,1132,1132
91,22/07/2016 , 15:15:00,1336,1336
92,22/07/2016 , 15:30:00,873,873
93,22/07/2016 , 15:45:00,1010,1010
94,22/07/2016 , 16:00:00,1130,1130
95,22/07/2016 , 16:15:00,1402,1402
96,22/07/2016 , 16:30:00,1378,1378
97,22/07/2016 , 16:45:00,1151,1151
98,22/07/2016 , 17:00:00,768,768
99,22/07/2016 , 17:15:00,552,552
100,22/07/2016 , 17:30:00,409,409
101,22/07/2016 , 17:45:00,256,256
102,22/07/2016 , 18:00:00,203,203
103,22/07/2016 , 18:15:00,164,164
104,22/07/2016 , 18:30:00,199,199
105,22/07/2016 , 18:45:00,133,133
106,22/07/2016 , 19:00:00,68,68
107,22/07/2016 , 19:15:00,27,27
108,22/07/2016 , 19:30:00,5,5
109,22/07/2016 , 19:45:00,0,0
