Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,8/18/2015 11:39:53 AM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 8/9",,,,
Measured Values,,"Scope 1/1, Sample 8/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,31.4,,21.0,,
28,0.0400,-38.2,0.0400,21.0,-69.6,
31,0.0800,-39.4,0.0400,21.0,-1.2,
34,0.1200,-40.0,0.0400,21.0,-0.6,
39,0.1600,-38.7,0.0400,21.0,1.3,
69,0.2000,-25.0,0.0400,21.0,13.7,
79,0.2400,-16.1,0.0400,21.0,8.9,
92,0.2800,-11.3,0.0400,21.0,4.8,
97,0.3200,-7.2,0.0400,21.0,4.1,
114,0.3600,-1.5,0.0400,21.0,5.7,
117,0.4000,-0.7,0.0400,21.0,0.8,
123,0.4400,2.7,0.0400,21.0,3.4,
128,0.4800,4.5,0.0400,21.0,1.8,
134,0.5200,9.1,0.0400,21.0,4.6,
138,0.5600,13.5,0.0400,21.0,4.4,
143,0.6000,15.0,0.0400,21.0,1.5,
148,0.6400,16.6,0.0400,21.0,1.6,
153,0.6800,18.4,0.0400,21.0,1.8,
158,0.7200,20.3,0.0400,21.0,1.9,
163,0.7600,24.0,0.0400,21.0,3.7,
167,0.8000,26.5,0.0400,21.0,2.5,
171,0.8400,27.3,0.0400,21.0,0.8,
176,0.8800,31.2,0.0400,21.0,3.9,
180,0.9200,33.0,0.0400,21.0,1.8,
184,0.9600,36.5,0.0400,21.0,3.5,
188,1.0000,39.0,0.0400,21.0,2.5,
192,1.0400,40.2,0.0400,21.0,1.2,
196,1.0800,41.8,0.0400,21.0,1.6,
200,1.1200,44.2,0.0400,21.0,2.4,
204,1.1600,45.1,0.0400,21.0,0.9,
208,1.2000,47.5,0.0400,21.0,2.4,
212,1.2400,50.9,0.0400,21.0,3.4,
217,1.2800,58.0,0.0400,21.0,7.1,
220,1.3200,59.1,0.0400,21.0,1.1,
224,1.3600,63.9,0.0400,21.0,4.8,
228,1.4000,70.5,0.0400,21.0,6.6,
231,1.4400,70.5,0.0400,21.0,0.0,
235,1.4800,71.5,0.0400,21.0,1.0,
238,1.5200,72.7,0.0400,21.0,1.2,
242,1.5600,81.2,0.0400,21.0,8.5,
246,1.6000,82.1,0.0400,21.0,0.9,
250,1.6400,87.3,0.0400,21.0,5.2,
253,1.6800,86.4,0.0400,21.0,-0.9,
256,1.7200,89.6,0.0400,21.0,3.2,
260,1.7600,93.8,0.0400,21.0,4.2,
264,1.8000,101.0,0.0400,21.0,7.2,
267,1.8400,99.7,0.0400,21.0,-1.3,
271,1.8800,102.4,0.0400,21.0,2.7,
275,1.9200,112.6,0.0400,21.0,10.2,
279,1.9600,117.9,0.0400,21.0,5.3,
283,2.0000,121.0,0.0400,21.0,3.1,
287,2.0400,126.0,0.0400,21.0,5.0,
291,2.0800,134.4,0.0400,21.0,8.4,
302,2.1200,143.8,0.0400,21.0,9.4,
306,2.1600,159.8,0.0400,21.0,16.0,251.69
310,2.2000,164.5,0.0400,21.0,4.7,220.68
314,2.2400,172.8,0.0400,21.0,8.3,169.62
318,2.2800,177.7,0.0400,21.0,4.9,121.89
322,2.3200,182.2,0.0400,21.0,4.5,92.29
446,2.3400,184.0,0.0200,21.0,1.8,102.54
450,2.3600,186.0,0.0200,21.0,2.0,86.66
454,2.3800,187.8,0.0200,21.0,1.8,91.21
458,2.4000,189.5,0.0200,21.0,1.7,87.54
462,2.4200,191.2,0.0200,21.0,1.7,86.87
465,2.4400,193.5,0.0200,21.0,2.3,78.78
468,2.4600,194.5,0.0200,21.0,1.0,69.73
472,2.4800,195.7,0.0200,21.0,1.2,62.87
475,2.5000,197.4,0.0200,21.0,1.7,60.17
481,2.5200,197.9,0.0200,21.0,0.5,57.89
485,2.5400,199.3,0.0200,21.0,1.4,58.22
488,2.5600,200.8,0.0200,21.0,1.5,56.13
492,2.5800,201.9,0.0200,21.0,1.1,55.59
496,2.6000,202.5,0.0200,21.0,0.6,54.12
500,2.6200,203.7,0.0200,21.0,1.2,49.38
503,2.6400,205.0,0.0200,21.0,1.3,47.90
506,2.6600,205.8,0.0200,21.0,0.8,46.87
510,2.6800,206.5,0.0200,21.0,0.7,43.69
514,2.7000,207.6,0.0200,21.0,1.1,39.38
520,2.7200,208.2,0.0200,21.0,0.6,38.75
523,2.7400,209.0,0.0200,21.0,0.8,39.33
527,2.7600,209.8,0.0200,21.0,0.8,37.46
532,2.7800,210.6,0.0200,21.0,0.8,36.92
535,2.8000,211.3,0.0200,21.0,0.7,37.82
539,2.8200,212.0,0.0200,21.0,0.7,37.28
543,2.8400,212.7,0.0200,21.0,0.7,36.00
547,2.8600,213.6,0.0200,21.0,0.9,35.84
550,2.8800,214.2,0.0200,21.0,0.6,34.24
553,2.9000,214.9,0.0200,21.0,0.7,32.79
558,2.9200,215.4,0.0200,21.0,0.5,30.21
562,2.9400,216.2,0.0200,21.0,0.8,28.90
565,2.9600,216.6,0.0200,21.0,0.4,28.42
568,2.9800,217.3,0.0200,21.0,0.7,28.22
574,3.0000,217.7,0.0200,21.0,0.4,29.07
578,3.0200,218.4,0.0200,21.0,0.7,28.73
581,3.0400,218.9,0.0200,21.0,0.5,28.83
585,3.0600,219.6,0.0200,21.0,0.7,27.31
588,3.0800,220.1,0.0200,21.0,0.5,25.71
592,3.1000,220.5,0.0200,21.0,0.4,23.93
598,3.1200,221.0,0.0200,21.0,0.5,23.51
604,3.1400,221.5,0.0200,21.0,0.5,23.40
607,3.1600,221.9,0.0200,21.0,0.4,24.30
611,3.1800,222.5,0.0200,21.0,0.6,23.79
616,3.2000,222.9,0.0200,21.0,0.4,22.98
619,3.2200,223.4,0.0200,21.0,0.5,21.95
624,3.2400,223.8,0.0200,21.0,0.4,22.27
628,3.2600,224.2,0.0200,21.0,0.4,22.24
632,3.2800,224.7,0.0200,21.0,0.5,22.48
638,3.3000,225.1,0.0200,21.0,0.4,22.86
641,3.3200,225.7,0.0200,21.0,0.6,22.03
646,3.3400,226.0,0.0200,21.0,0.3,21.26
652,3.3600,226.4,0.0200,21.0,0.4,19.25
655,3.3800,226.9,0.0200,21.0,0.5,18.16
658,3.4000,227.1,0.0200,21.0,0.2,17.65
663,3.4200,227.6,0.0200,21.0,0.5,18.81
