Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,8/18/2015 11:39:53 AM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 1/1",,,,
Measured Values,,"Scope 1/1, Sample 1/1",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,-4.3,,18.8,,
26,0.0400,-51.0,0.0400,18.8,-46.7,
37,0.0800,-54.1,0.0400,18.8,-3.1,
40,0.1200,-54.5,0.0400,18.8,-0.4,
64,0.1600,-49.3,0.0400,18.8,5.2,
92,0.2000,-41.8,0.0400,18.8,7.5,
117,0.2400,-34.7,0.0400,18.8,7.1,
132,0.2800,-30.0,0.0400,18.8,4.7,
152,0.3200,-24.8,0.0400,18.8,5.2,
166,0.3600,-21.1,0.0400,18.8,3.7,
182,0.4000,-17.3,0.0400,18.8,3.8,
191,0.4400,-14.5,0.0400,18.8,2.8,
198,0.4800,-11.8,0.0400,18.8,2.7,
206,0.5200,-9.9,0.0400,18.8,1.9,
214,0.5600,-8.0,0.0400,18.8,1.9,
232,0.6000,-3.0,0.0400,18.8,5.0,
241,0.6400,-0.6,0.0400,18.8,2.4,
246,0.6800,-0.1,0.0400,18.8,0.5,
254,0.7200,3.0,0.0400,18.8,3.1,
258,0.7600,3.7,0.0400,18.8,0.7,
262,0.8000,4.8,0.0400,18.8,1.1,
266,0.8400,5.9,0.0400,18.8,1.1,
284,0.8800,9.8,0.0400,18.8,3.9,
290,0.9200,12.6,0.0400,18.8,2.8,
294,0.9600,13.5,0.0400,18.8,0.9,
299,1.0000,16.1,0.0400,18.8,2.6,
304,1.0400,17.4,0.0400,18.8,1.3,
309,1.0800,19.2,0.0400,18.8,1.8,
314,1.1200,20.4,0.0400,18.8,1.2,
319,1.1600,22.5,0.0400,18.8,2.1,
324,1.2000,24.3,0.0400,18.8,1.8,
329,1.2400,25.3,0.0400,18.8,1.0,
334,1.2800,26.9,0.0400,18.8,1.6,
340,1.3200,28.7,0.0400,18.8,1.8,
346,1.3600,30.9,0.0400,18.8,2.2,
351,1.4000,32.4,0.0400,18.8,1.5,
357,1.4400,34.6,0.0400,18.8,2.2,
361,1.4800,38.1,0.0400,18.8,3.5,
365,1.5200,39.3,0.0400,18.8,1.2,
370,1.5600,41.2,0.0400,18.8,1.9,
375,1.6000,44.3,0.0400,18.8,3.1,
380,1.6400,46.1,0.0400,18.8,1.8,
386,1.6800,48.1,0.0400,18.8,2.0,
391,1.7200,50.7,0.0400,18.8,2.6,
396,1.7600,55.4,0.0400,18.8,4.7,
400,1.8000,57.9,0.0400,18.8,2.5,
405,1.8400,61.4,0.0400,18.8,3.5,
410,1.8800,68.7,0.0400,18.8,7.3,
414,1.9200,70.5,0.0400,18.8,1.8,
418,1.9600,75.9,0.0400,18.8,5.4,
422,2.0000,78.8,0.0400,18.8,2.9,
427,2.0400,83.7,0.0400,18.8,4.9,
434,2.0800,88.5,0.0400,18.8,4.8,
465,2.1200,103.4,0.0400,18.8,14.9,
470,2.1600,115.9,0.0400,18.8,12.5,
499,2.2000,136.0,0.0400,18.8,20.1,
516,2.2400,150.8,0.0400,18.8,14.8,346.30
530,2.2800,161.5,0.0400,18.8,10.7,270.77
535,2.3200,169.3,0.0400,18.8,7.8,200.91
542,2.3600,175.4,0.0400,18.8,6.1,134.05
547,2.4000,181.1,0.0400,18.8,5.7,112.24
673,2.4200,183.5,0.0200,18.8,2.4,106.74
678,2.4400,185.5,0.0200,18.8,2.0,100.49
683,2.4600,187.2,0.0200,18.8,1.7,91.42
687,2.4800,189.1,0.0200,18.8,1.9,80.80
693,2.5000,190.7,0.0200,18.8,1.6,77.50
698,2.5200,192.1,0.0200,18.8,1.4,74.63
702,2.5400,193.6,0.0200,18.8,1.5,73.33
708,2.5600,194.9,0.0200,18.8,1.3,69.72
712,2.5800,196.6,0.0200,18.8,1.7,67.04
716,2.6000,197.7,0.0200,18.8,1.1,63.08
720,2.6200,199.1,0.0200,18.8,1.4,57.10
724,2.6400,199.9,0.0200,18.8,0.8,52.78
729,2.6600,201.1,0.0200,18.8,1.2,51.76
733,2.6800,202.1,0.0200,18.8,1.0,52.78
738,2.7000,203.0,0.0200,18.8,0.9,50.71
742,2.7200,204.2,0.0200,18.8,1.2,47.91
746,2.7400,205.3,0.0200,18.8,1.1,43.90
750,2.7600,205.9,0.0200,18.8,0.6,41.91
754,2.7800,206.6,0.0200,18.8,0.7,39.13
758,2.8000,207.4,0.0200,18.8,0.8,37.85
762,2.8200,208.4,0.0200,18.8,1.0,40.30
767,2.8400,209.1,0.0200,18.8,0.7,41.32
772,2.8600,209.8,0.0200,18.8,0.7,38.79
776,2.8800,210.7,0.0200,18.8,0.9,36.84
780,2.9000,211.5,0.0200,18.8,0.8,35.65
784,2.9200,212.0,0.0200,18.8,0.5,35.52
787,2.9400,212.7,0.0200,18.8,0.7,33.58
791,2.9600,213.5,0.0200,18.8,0.8,31.96
795,2.9800,214.1,0.0200,18.8,0.6,30.65
798,3.0000,214.7,0.0200,18.8,0.6,29.50
803,3.0200,215.2,0.0200,18.8,0.5,28.21
807,3.0400,215.8,0.0200,18.8,0.6,28.72
812,3.0600,216.3,0.0200,18.8,0.5,28.99
816,3.0800,217.0,0.0200,18.8,0.7,27.98
819,3.1000,217.6,0.0200,18.8,0.6,28.36
824,3.1200,218.1,0.0200,18.8,0.5,27.18
828,3.1400,218.5,0.0200,18.8,0.4,25.30
832,3.1600,219.1,0.0200,18.8,0.6,26.93
836,3.1800,219.8,0.0200,18.8,0.7,28.55
840,3.2000,220.1,0.0200,18.8,0.3,28.77
843,3.2200,220.7,0.0200,18.8,0.6,26.25
847,3.2400,221.6,0.0200,18.8,0.9,22.94
850,3.2600,221.7,0.0200,18.8,0.1,20.51
854,3.2800,222.1,0.0200,18.8,0.4,19.54
858,3.3000,222.4,0.0200,18.8,0.3,18.37
863,3.3200,222.9,0.0200,18.8,0.5,19.56
867,3.3400,223.3,0.0200,18.8,0.4,22.35
871,3.3600,223.8,0.0200,18.8,0.5,22.89
874,3.3800,224.2,0.0200,18.8,0.4,22.81
878,3.4000,224.6,0.0200,18.8,0.4,21.78
883,3.4200,225.1,0.0200,18.8,0.5,19.99
886,3.4400,225.6,0.0200,18.9,0.5,18.90
890,3.4600,225.8,0.0200,18.9,0.2,18.96
