Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 2/9",,,,
Measured Values,,"Scope 1/1, Sample 2/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,25.8,,21.3,,
28,0.0400,-50.9,0.0400,21.3,-76.7,
38,0.0800,-55.8,0.0400,21.3,-4.9,
42,0.1200,-56.2,0.0400,21.3,-0.4,
70,0.1600,-48.3,0.0400,21.3,7.9,
98,0.2000,-40.8,0.0400,21.3,7.5,
123,0.2400,-34.0,0.0400,21.3,6.8,
144,0.2800,-28.1,0.0400,21.3,5.9,
164,0.3200,-22.6,0.0400,21.2,5.5,
181,0.3600,-18.3,0.0400,21.2,4.3,
197,0.4000,-14.2,0.0400,21.2,4.1,
208,0.4400,-11.1,0.0400,21.2,3.1,
217,0.4800,-8.8,0.0400,21.2,2.3,
236,0.5200,-4.0,0.0400,21.2,4.8,
245,0.5600,-1.8,0.0400,21.2,2.2,
249,0.6000,-0.6,0.0400,21.2,1.2,
252,0.6400,-0.7,0.0400,21.2,-0.1,
262,0.6800,2.6,0.0400,21.2,3.3,
269,0.7200,4.2,0.0400,21.2,1.6,
281,0.7600,8.7,0.0400,21.2,4.5,
286,0.8000,10.9,0.0400,21.2,2.2,
290,0.8400,11.5,0.0400,21.2,0.6,
299,0.8800,13.7,0.0400,21.2,2.2,
302,0.9200,14.4,0.0400,21.2,0.7,
312,0.9600,16.9,0.0400,21.2,2.5,
317,1.0000,20.3,0.0400,21.2,3.4,
322,1.0400,22.1,0.0400,21.2,1.8,
326,1.0800,23.3,0.0400,21.2,1.2,
334,1.1200,25.2,0.0400,21.2,1.9,
339,1.1600,26.7,0.0400,21.2,1.5,
345,1.2000,28.9,0.0400,21.2,2.2,
349,1.2400,31.8,0.0400,21.2,2.9,
354,1.2800,32.9,0.0400,21.2,1.1,
359,1.3200,34.9,0.0400,21.2,2.0,
363,1.3600,38.7,0.0400,21.2,3.8,
368,1.4000,40.8,0.0400,21.2,2.1,
372,1.4400,42.1,0.0400,21.2,1.3,
384,1.4800,44.6,0.0400,21.2,2.5,
388,1.5200,46.5,0.0400,21.2,1.9,
400,1.5600,49.5,0.0400,21.2,3.0,
405,1.6000,54.1,0.0400,21.2,4.6,
408,1.6400,54.6,0.0400,21.2,0.5,
420,1.6800,57.8,0.0400,21.2,3.2,
425,1.7200,61.9,0.0400,21.2,4.1,
429,1.7600,63.6,0.0400,21.2,1.7,
434,1.8000,67.0,0.0400,21.2,3.4,
439,1.8400,71.5,0.0400,21.2,4.5,
443,1.8800,79.6,0.0400,21.2,8.1,
447,1.9200,84.4,0.0400,21.2,4.8,
451,1.9600,85.5,0.0400,21.2,1.1,
481,2.0000,97.7,0.0400,21.2,12.2,
503,2.0400,107.1,0.0400,21.2,9.4,
525,2.0800,119.6,0.0400,21.2,12.5,
544,2.1200,135.3,0.0400,21.2,15.7,
561,2.1600,150.3,0.0400,21.2,15.0,318.50
572,2.2000,161.7,0.0400,21.1,11.4,277.07
583,2.2400,170.1,0.0400,21.2,8.4,208.93
587,2.2800,175.8,0.0400,21.2,5.7,148.97
595,2.3200,181.9,0.0400,21.1,6.1,115.65
719,2.3400,183.8,0.0200,21.1,1.9,109.26
727,2.3600,186.5,0.0200,21.1,2.7,105.71
735,2.3800,188.4,0.0200,21.1,1.9,100.20
743,2.4000,190.3,0.0200,21.1,1.9,88.44
746,2.4200,191.9,0.0200,21.1,1.6,84.20
754,2.4400,193.6,0.0200,21.1,1.7,74.92
