Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 3/9",,,,
Measured Values,,"Scope 1/1, Sample 3/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,73.3,,22.9,,
28,0.0400,17.5,0.0400,22.9,-55.8,
58,0.0800,-10.2,0.0400,22.9,-27.7,
83,0.1200,-17.6,0.0400,22.9,-7.4,
86,0.1600,-17.4,0.0400,22.9,0.2,
90,0.2000,-16.4,0.0400,22.9,1.0,
102,0.2400,-13.9,0.0400,22.9,2.5,
118,0.2800,-10.3,0.0400,22.9,3.6,
124,0.3200,-8.1,0.0400,22.9,2.2,
141,0.3600,-3.3,0.0400,22.8,4.8,
151,0.4000,-0.5,0.0400,22.9,2.8,
154,0.4400,-0.6,0.0400,22.8,-0.1,
163,0.4800,2.2,0.0400,22.8,2.8,
169,0.5200,4.1,0.0400,22.8,1.9,
173,0.5600,5.1,0.0400,22.8,1.0,
176,0.6000,5.7,0.0400,22.8,0.6,
193,0.6400,11.0,0.0400,22.8,5.3,
199,0.6800,12.6,0.0400,22.8,1.6,
207,0.7200,14.3,0.0400,22.8,1.7,
213,0.7600,16.1,0.0400,22.8,1.8,
218,0.8000,17.5,0.0400,22.8,1.4,
224,0.8400,20.0,0.0400,22.8,2.5,
229,0.8800,22.4,0.0400,22.8,2.4,
234,0.9200,25.2,0.0400,22.8,2.8,
238,0.9600,27.5,0.0400,22.8,2.3,
243,1.0000,30.6,0.0400,22.8,3.1,
247,1.0400,32.6,0.0400,22.8,2.0,
251,1.0800,34.2,0.0400,22.8,1.6,
255,1.1200,35.8,0.0400,22.8,1.6,
260,1.1600,39.6,0.0400,22.8,3.8,
264,1.2000,42.7,0.0400,22.8,3.1,
268,1.2400,45.2,0.0400,22.8,2.5,
272,1.2800,49.2,0.0400,22.8,4.0,
276,1.3200,52.2,0.0400,22.8,3.0,
279,1.3600,52.4,0.0400,22.8,0.2,
282,1.4000,53.5,0.0400,22.8,1.1,
286,1.4400,55.8,0.0400,22.8,2.3,
290,1.4800,56.6,0.0400,22.8,0.8,
294,1.5200,57.2,0.0400,22.8,0.6,
298,1.5600,64.2,0.0400,22.8,7.0,
302,1.6000,65.5,0.0400,22.8,1.3,
306,1.6400,66.8,0.0400,22.8,1.3,
310,1.6800,72.4,0.0400,22.8,5.6,
314,1.7200,74.6,0.0400,22.8,2.2,
317,1.7600,80.1,0.0400,22.8,5.5,
322,1.8000,83.9,0.0400,22.8,3.8,
325,1.8400,92.6,0.0400,22.8,8.7,
329,1.8800,96.0,0.0400,22.8,3.4,
333,1.9200,97.1,0.0400,22.8,1.1,
337,1.9600,103.2,0.0400,22.8,6.1,
367,2.0000,116.0,0.0400,22.8,12.8,
388,2.0400,129.4,0.0400,22.8,13.4,
406,2.0800,143.8,0.0400,22.7,14.4,350.87
416,2.1200,157.2,0.0400,22.7,13.4,313.72
421,2.1600,167.7,0.0400,22.7,10.5,252.62
425,2.2000,176.3,0.0400,22.7,8.6,197.05
429,2.2400,182.4,0.0400,22.7,6.1,146.13
555,2.2600,184.7,0.0200,22.7,2.3,125.49
561,2.2800,187.3,0.0200,22.7,2.6,113.01
564,2.3000,190.2,0.0200,22.7,2.9,103.20
568,2.3200,191.7,0.0200,22.7,1.5,97.18
574,2.3400,193.3,0.0200,22.7,1.6,87.70
578,2.3600,195.3,0.0200,22.7,2.0,80.72
583,2.3800,196.8,0.0200,22.7,1.5,79.70
588,2.4000,198.4,0.0200,22.7,1.6,79.43
