"Names","TA","Mass"
"20160711_CRM.csv",2233.37890423304,100.06,NA
"20160711_S1.csv",2169.83383454125,99.98,NA
"20160711_S2.csv",2172.92021135438,99.99,NA
"20160711_S26.csv",2185.14908524064,99.96,NA
"20160711_S27.csv",2187.58709570139,100,NA
"20160711_S28.csv",2181.19334461269,100,NA
"20160711_S3.csv",2170.14418961091,99.9,NA
"20160711_S4.csv",2165.74854375267,99.96,NA
"20160711_TANK10.csv",2172.62164256924,100.09,NA
"20160711_TANK11.csv",2182.28324458509,99.97,NA
"20160711_TANK12.csv",2183.38685213985,100,NA
"20160711_TANK13.csv",2164.08474498308,100.01,NA
"20160711_TANK14.csv",2178.69762656615,100.01,NA
"20160711_TANK15.csv",2172.76199308738,99.95,NA
"20160711_TANK16.csv",2178.91585358337,100.01,NA
"20160711_TANK17.csv",2188.88466917281,100.02,NA
"20160711_TANK18.csv",2176.1443410765,100.04,NA
"20160711_TANK4.csv",2187.0234668558,99.98,NA
"20160711_TANK5.csv",2157.86216147087,99.92,NA
"20160711_TANK6.csv",2175.37341998024,99.92,NA
"20160711_TANK8.csv",2130.71408393224,99.94,NA
"20160711_TANK9.csv",2176.92372143313,99.92,NA
"20160711mass.csv",NA,NA,NA
"TA 20160711 .csv",NA,NA,NA
