Titration report,,,,, ,
Method,,,,,,
Method ID,,110,,"Release state
",Released,
Name,,CSUN2,,Modified by,SystemInternal,
Modified on,,2/22/2016 12:39:07 PM,,,,
Titration (EQP) [1],,"Scope 1/1, Sample 3/9",,,,
Measured Values,,"Scope 1/1, Sample 3/9",,,,
Time,V,Meas. value,dV,Temp.,dE,dE/dV
[s],[mL],[mV],[mL],[°C],[mV],[mV/mL]
0,0.0000,65.1,,24.4,,
28,0.0400,-14.0,0.0400,24.4,-79.1,
58,0.0800,-42.3,0.0400,24.3,-28.3,
64,0.1200,-44.1,0.0400,24.3,-1.8,
68,0.1600,-44.2,0.0400,24.3,-0.1,
72,0.2000,-43.2,0.0400,24.3,1.0,
102,0.2400,-33.0,0.0400,24.3,10.2,
129,0.2800,-25.6,0.0400,24.3,7.4,
147,0.3200,-21.0,0.0400,24.3,4.6,
163,0.3600,-17.0,0.0400,24.3,4.0,
177,0.4000,-13.3,0.0400,24.3,3.7,
188,0.4400,-10.2,0.0400,24.3,3.1,
195,0.4800,-8.8,0.0400,24.3,1.4,
217,0.5200,-3.3,0.0400,24.2,5.5,
228,0.5600,-0.5,0.0400,24.2,2.8,
231,0.6000,-0.6,0.0400,24.2,-0.1,
234,0.6400,-0.2,0.0400,24.2,0.4,
240,0.6800,2.1,0.0400,24.2,2.3,
249,0.7200,4.2,0.0400,24.2,2.1,
253,0.7600,5.1,0.0400,24.2,0.9,
276,0.8000,10.7,0.0400,24.2,5.6,
281,0.8400,12.2,0.0400,24.2,1.5,
287,0.8800,13.8,0.0400,24.2,1.6,
292,0.9200,15.5,0.0400,24.2,1.7,
297,0.9600,17.1,0.0400,24.2,1.6,
303,1.0000,18.7,0.0400,24.2,1.6,
309,1.0400,20.3,0.0400,24.2,1.6,
316,1.0800,22.1,0.0400,24.2,1.8,
326,1.1200,24.3,0.0400,24.2,2.2,
332,1.1600,25.7,0.0400,24.2,1.4,
339,1.2000,27.7,0.0400,24.2,2.0,
346,1.2400,29.6,0.0400,24.2,1.9,
354,1.2800,31.9,0.0400,24.1,2.3,
360,1.3200,33.9,0.0400,24.1,2.0,
370,1.3600,36.0,0.0400,24.1,2.1,
377,1.4000,37.7,0.0400,24.1,1.7,
384,1.4400,39.6,0.0400,24.1,1.9,
389,1.4800,42.2,0.0400,24.1,2.6,
394,1.5200,44.3,0.0400,24.1,2.1,
406,1.5600,47.4,0.0400,24.1,3.1,
411,1.6000,50.2,0.0400,24.1,2.8,
415,1.6400,52.8,0.0400,24.1,2.6,
420,1.6800,56.1,0.0400,24.1,3.3,
424,1.7200,60.8,0.0400,24.1,4.7,
428,1.7600,64.3,0.0400,24.1,3.5,
433,1.8000,65.8,0.0400,24.1,1.5,
437,1.8400,69.6,0.0400,24.1,3.8,
442,1.8800,73.8,0.0400,24.1,4.2,
447,1.9200,77.7,0.0400,24.1,3.9,
477,1.9600,87.2,0.0400,24.1,9.5,
493,2.0000,95.5,0.0400,24.1,8.3,
501,2.0400,104.4,0.0400,24.1,8.9,
530,2.0800,119.2,0.0400,24.1,14.8,
551,2.1200,135.1,0.0400,24.1,15.9,
568,2.1600,151.1,0.0400,24.1,16.0,350.53
578,2.2000,163.2,0.0400,24.1,12.1,303.97
587,2.2400,172.4,0.0400,24.0,9.2,231.35
593,2.2800,179.5,0.0400,24.0,7.1,170.09
597,2.3200,187.1,0.0400,24.0,7.6,127.50
722,2.3400,188.4,0.0200,24.0,1.3,115.97
728,2.3600,190.1,0.0200,24.0,1.7,103.83
733,2.3800,192.3,0.0200,24.0,2.2,90.78
736,2.4000,194.9,0.0200,23.9,2.6,81.32
742,2.4200,195.8,0.0200,24.0,0.9,86.01
747,2.4400,197.4,0.0200,23.9,1.6,76.92
