Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160421,21:40,514,1497,0.656,NA,NA,NA,BL,,
Nonbleached,W104,A027,NA,NA,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W104,A028,Cohort15,Ambient,20160421,21:15,269,843,0.68,NA,NA,NA,BL,,
Nonbleached,W104,A029,Cohort14,Ambient,20160421,20:46,461,1395,0.669,NA,NA,NA,BL,,
Nonbleached,W104,A030,Cohort17,High,20160421,21:25,452,1223,0.63,NA,NA,NA,BL,,
Nonbleached,W104,A031,Cohort13,High,20160421,20:15,379,1216,0.688,NA,NA,NA,BL,,
Nonbleached,W104,A032,Cohort11,Ambient,20160421,20:01,183,568,0.677,NA,NA,NA,BL,,
Nonbleached,W104,A033,Cohort12,High,20160421,20:07,283,795,0.644,NA,NA,NA,BL,,
Nonbleached,W104,A034,Cohort18,Ambient,20160421,19:45,250,727,0.656,NA,NA,NA,BL,,
Bleached,W103,A035,Cohort17,High,20160421,21:18,488,1610,0.696,NA,NA,NA,BL,,
Bleached,W103,A036,Cohort14,Ambient,20160421,20:43,390,1192,0.672,NA,NA,NA,BL,,
Bleached,W103,A037,Cohort18,Ambient,20160421,19:43,450,1561,0.711,NA,NA,NA,BL,,
Bleached,W103,A038,Cohort11,Ambient,20160421,19:56,550,1642,0.665,NA,NA,NA,BL,,
Bleached,W103,A039,Cohort16,High,20160421,21:35,531,1819,0.708,NA,NA,NA,BL,,
Bleached,W103,A040,Cohort12,High,20160421,20:06,227,828,0.725,NA,NA,NA,BL,,
Bleached,W103,A041,Cohort13,High,20160421,20:024,223,784,0.715,NA,NA,NA,BL,,
Bleached,W103,A042,Cohort15,Ambient,20160421,20:58,428,1309,0.673,NA,NA,NA,BL,,
Nonbleached,W262,A043,Cohort11,Ambient,20160421,19:58,188,451,0.583,NA,NA,NA,BL,,
Nonbleached,W262,A044,Cohort18,Ambient,20160421,19:45,262,856,0.693,NA,NA,NA,BL,,
Nonbleached,W262,A045,Cohort12,High,20160421,20:03,207,573,0.638,NA,NA,NA,BL,,
Nonbleached,W262,A046,Cohort14,Ambient,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W262,A047,Cohort15,Ambient,20160421,21:07,543,1494,0.636,NA,NA,NA,BL,,
Nonbleached,W262,A048,Cohort13,High,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W262,A049,Cohort17,High,20160421,21:30,598,1703,0.648,NA,NA,NA,BL,,
Nonbleached,W262,A050,Cohort16,High,20160421,21:34,674,2011,0.664,NA,NA,NA,BL,,
Nonbleached,W106,A051,Cohort13,High,20160421,20:26,304,986,0.691,NA,NA,NA,BL,,
Nonbleached,W106,A052,Cohort14,Ambient,20160421,20:49,229,723,0.683,NA,NA,NA,BL,,
Nonbleached,W106,A053,Cohort11,Ambient,20160421,19:52,444,1293,0.656,NA,NA,NA,BL,,
Nonbleached,W106,A054,Cohort12,High,20160421,20:02,260,809,0.678,NA,NA,NA,BL,,
Nonbleached,W106,A055,Cohort18,Ambient,20160421,19:48,132,480,0.725,NA,NA,NA,BL,,
Nonbleached,W106,A056,Cohort16,High,20160421,21:39,405,1068,0.62,NA,NA,NA,BL,,
Nonbleached,W106,A057,Cohort17,High,20160421,21:29,487,1454,0.665,NA,NA,NA,BL,,
Nonbleached,W106,A058,Cohort15,Ambient,20160421,21:09,160,519,0.691,NA,NA,NA,BL,,
Bleached,W257,A067,Cohort15,Ambient,20160421,21:13,516,1815,0.715,NA,NA,NA,BL,,
Bleached,W257,A068,Cohort14,Ambient,20160421,20:34,622,1936,0.678,NA,NA,NA,BL,,
Bleached,W257,A069,Cohort12,High,20160421,20:03,255,1022,0.75,NA,NA,NA,BL,,
Bleached,W257,A070,Cohort11,Ambient,20160421,19:54,562,1768,0.682,NA,NA,NA,BL,,
Bleached,W257,A071,Cohort13,High,20160421,20:24,415,1341,0.69,NA,NA,NA,BL,,
Bleached,W257,A072,Cohort18,Ambient,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Bleached,W257,A073,Cohort16,High,20160421,21:36,507,1740,0.708,NA,NA,NA,BL,,
Bleached,W257,A074,Cohort17,High,20160421,21:26,596,1720,0.653,NA,NA,NA,BL,,
Bleached,W261,A083,Cohort15,Ambient,20160421,20:56,432,1299,0.667,NA,NA,NA,BL,,
Bleached,W261,A084,Cohort18,Ambient,20160421,19:50,282,877,0.678,NA,NA,NA,BL,,
Bleached,W261,A085,Cohort17,High,20160421,21:22,498,1688,0.704,NA,NA,NA,BL,,
Bleached,W261,A086,Cohort14,Ambient,20160421,20:35,532,1635,0.674,NA,NA,NA,BL,,
Bleached,W261,A087,Cohort11,Ambient,20160421,19:55,430,1448,0.703,NA,NA,NA,BL,,
Bleached,W261,A088,Cohort16,High,20160421,21:37,362,1003,0.639,NA,NA,NA,BL,,
Bleached,W261,A089,Cohort13,High,20160421,20:20,208,676,0.693,NA,NA,NA,BL,,
Bleached,W261,A090,Cohort12,High,20160421,20:08,377,1071,0.647,NA,NA,NA,BL,,
Bleached,W117,A091,Cohort14,Ambient,20160421,20:40,297,1027,0.71,NA,NA,NA,BL,,
Bleached,W117,A092,Cohort12,High,20160421,20:09,159,827,0.807,NA,NA,NA,BL,,
Bleached,W117,A093,Cohort17,High,20160421,21:19,468,1601,0.707,NA,NA,NA,BL,,
Bleached,W117,A094,Cohort18,Ambient,20160421,19:46,381,1140,0.665,NA,NA,NA,BL,,
Bleached,W117,A095,Cohort11,Ambient,20160421,19:57,340,1097,0.69,NA,NA,NA,BL,,
Bleached,W117,A096,Cohort15,Ambient,20160421,21:02,487,1717,0.716,NA,NA,NA,BL,,
Bleached,W117,A097,Cohort13,High,20160421,20:23,242,860,0.718,NA,NA,NA,BL,,
Bleached,W117,A098,Cohort16,High,20160421,21:33,193,645,0.7,NA,NA,NA,BL,,
Bleached,W117,A099,NA,NA,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W118,A100,Cohort13,High,20160421,20:13,341,1198,0.715,NA,NA,NA,BL,,
Nonbleached,W118,A101,Cohort16,High,20160421,21:33,619,1766,0.649,NA,NA,NA,BL,,
Nonbleached,W118,A102,Cohort17,High,20160421,21:17,549,1519,0.638,NA,NA,NA,BL,,
Nonbleached,W118,A103,Cohort14,Ambient,20160421,20:36,212,707,0.7,NA,NA,NA,BL,,
Nonbleached,W118,A104,Cohort15,Ambient,20160421,NA,458,1320,0.653,NA,NA,NA,BL,,
Nonbleached,W118,A105,Cohort11,Ambient,20160421,19:55,526,1554,0.661,NA,NA,NA,BL,,
Nonbleached,W118,A106,Cohort12,High,20160421,20:04,401,1089,0.63,NA,NA,NA,BL,,
Nonbleached,W118,A107,Cohort18,Ambient,20160421,19:51,318,916,0.652,NA,NA,NA,BL,,
Bleached,W269,A108,Cohort13,High,20160421,20:19,530,1565,0.661,NA,NA,NA,BL,,
Bleached,W269,A109,Cohort15,Ambient,20160421,20:59,553,1612,0.656,NA,NA,NA,BL,,
Bleached,W269,A110,Cohort11,Ambient,20160421,19:54,515,1394,0.63,NA,NA,NA,BL,,
Bleached,W269,A111,Cohort16,High,20160421,21:44,448,1548,0.71,NA,NA,NA,BL,,
Bleached,W269,A112,NA,NA,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Bleached,W269,A113,Cohort14,Ambient,20160421,20:32,438,1621,0.729,NA,NA,NA,BL,,
Bleached,W269,A114,Cohort18,Ambient,20160421,19:50,254,864,0.706,NA,NA,NA,BL,,
Bleached,W269,A115,Cohort12,High,20160421,20:03,456,1202,0.62,NA,NA,NA,BL,,
Bleached,W269,A116,NA,NA,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W270,A117,NA,NA,20160421,NA,NA,NA,NA,NA,NA,NA,BL,,
Nonbleached,W270,A118,Cohort11,Ambient,20160421,19:59,398,1380,0.711,NA,NA,NA,BL,,
Nonbleached,W270,A119,Cohort14,Ambient,20160421,20:38,283,1011,0.72,NA,NA,NA,BL,,
Nonbleached,W270,A120,Cohort16,High,20160421,21:44,486,1582,0.692,NA,NA,NA,BL,,
Nonbleached,W270,A121,Cohort17,High,20160421,21:31,545,1555,0.649,NA,NA,NA,BL,,
Nonbleached,W270,A122,Cohort13,High,20160421,20:16,482,1447,0.666,NA,NA,NA,BL,,
Nonbleached,W270,A123,Cohort12,High,20160421,20:05,159,604,0.736,NA,NA,NA,BL,,
Nonbleached,W270,A124,Cohort18,Ambient,20160421,19:44,284,759,0.625,NA,NA,NA,BL,,
Nonbleached,W270,A125,Cohort15,Ambient,20160421,21:12,356,1223,0.708,NA,NA,NA,BL,,
