Parental.Performance,Parent.ID,Fragment.ID,Cohort,Treatment,Date,Time,Fo.Rep1,Fm.Rep1,Yield.Rep1,Fo.Rep2,Fm.Rep2,Yield.Rep2,QC,Time2,Rep1.Notes,Rep2.Notes
Nonbleached,W104,A026,Cohort16,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A027,NA,NA,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A028,Cohort15,Ambient,20160714,20:34,323,974,0.668,335,935,0.641,HP,21:19,,
Nonbleached,W104,A029,Cohort14,Ambient,20160714,20:27,423,1402,0.698,473,1362,0.652,HP,21:13,,
Nonbleached,W104,A030,Cohort17,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A031,Cohort13,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A032,Cohort11,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A033,Cohort12,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W104,A034,Cohort18,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A035,Cohort17,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A036,Cohort14,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A037,Cohort18,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A038,Cohort11,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W103,A039,Cohort16,High,20160714,20:50,478,1371,0.651,567,1746,0.675,HP,21:30,,
Bleached,W103,A040,Cohort12,High,20160714,20:41,396,1080,0.633,572,1592,0.64,HP,21:24,,
Bleached,W103,A041,Cohort13,High,20160714,20:55,697,2138,0.673,517,1430,0.638,HP,21:36,,
Bleached,W103,A042,Cohort15,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A043,Cohort11,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A044,Cohort18,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A045,Cohort12,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A046,Cohort14,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A047,Cohort15,Ambient,20160714,20:35,415,1209,0.656,462,1338,0.654,HP,21:16,,
Nonbleached,W262,A048,Cohort13,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A049,Cohort17,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W262,A050,Cohort16,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A051,Cohort13,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A052,Cohort14,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A053,Cohort11,Ambient,20160714,20:20,677,1861,0.636,613,1626,0.623,HP,21:05,,
Nonbleached,W106,A054,Cohort12,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A055,Cohort18,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A056,Cohort16,High,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W106,A057,Cohort17,High,20160714,20:13,386,1124,0.656,542,1465,0.63,HP,20:59,,
Nonbleached,W106,A058,Cohort15,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W257,A067,Cohort15,Ambient,20160714,20:34,479,1606,0.701,482,1653,0.708,HP,21:19,,
Bleached,W257,A068,Cohort14,Ambient,20160714,20:26,539,1527,0.647,293,884,0.668,HP,21:11,,
Bleached,W257,A069,Cohort12,High,20160714,20:43,600,1861,0.677,429,1350,0.682,HP,21:26,,
Bleached,W257,A070,Cohort11,Ambient,20160714,20:20,420,1213,0.653,356,1429,0.75,HP,21:05,,
Bleached,W257,A071,Cohort13,High,20160714,20:53,472,1542,0.693,423,1325,0.68,HP,21:37,,
Bleached,W257,A072,Cohort18,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W257,A073,Cohort16,High,20160714,20:48,624,1918,0.674,662,1940,0.658,HP,21:32,,
Bleached,W257,A074,Cohort17,High,20160714,20:14,739,2208,0.665,529,1389,0.619,HP,21:00,,
Bleached,W261,A083,Cohort15,Ambient,20160714,20:31,415,1319,0.685,482,1475,0.673,HP,21:16,,
Bleached,W261,A084,Cohort18,Ambient,20160714,20:17,428,1276,0.664,520,1653,0.685,HP,21:02,,
Bleached,W261,A085,Cohort17,High,20160714,20:15,505,1687,0.7,443,1292,0.657,HP,21:01,,
Bleached,W261,A086,Cohort14,Ambient,20160714,21:20,502,1754,0.713,388,1310,0.703,HP,21:15,,
Bleached,W261,A087,Cohort11,Ambient,20160714,20:19,555,1603,0.653,576,1734,0.667,HP,21:05,,
Bleached,W261,A088,Cohort16,High,20160714,20:47,395,1202,0.671,580,1819,0.681,HP,21:33,,
Bleached,W261,A089,Cohort13,High,20160714,20:53,380,1102,0.655,619,1859,0.667,HP,21:36,,
Bleached,W261,A090,Cohort12,High,20160714,20:42,408,1199,0.659,368,996,0.63,HP,21:25,,
Bleached,W117,A091,Cohort14,Ambient,20160714,20:26,516,1650,0.687,465,1381,0.663,HP,21:10,,
Bleached,W117,A092,Cohort12,High,20160714,20:41,612,1564,0.608,653,1708,0.617,HP,21:24,,
Bleached,W117,A093,Cohort17,High,20160714,20:12,502,1513,0.668,542,1693,0.679,HP,20:48,,
Bleached,W117,A094,Cohort18,Ambient,20160714,20:18,500,1513,0.669,473,1398,0.661,HP,21:03,,
Bleached,W117,A095,Cohort11,Ambient,20160714,20:21,284,843,0.663,365,1133,0.677,HP,21:06,,
Bleached,W117,A096,Cohort15,Ambient,20160714,20:31,427,1284,0.667,604,736,0.179,HP,21:17,,
Bleached,W117,A097,Cohort13,High,20160714,20:54,476,1380,0.655,389,1132,0.656,HP,21:38,,
Bleached,W117,A098,Cohort16,High,20160714,20:49,679,1829,0.628,484,1353,0.642,HP,21:31,,
Bleached,W117,A099,NA,NA,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W118,A100,Cohort13,High,20160714,20:54,518,1576,0.671,350,1040,0.663,HP,21:38,,
Nonbleached,W118,A101,Cohort16,High,20160714,20:49,261,722,0.638,215,887,0.757,HP,21:31,,
Nonbleached,W118,A102,Cohort17,High,20160714,20:12,386,1115,0.653,509,1354,0.624,HP,20:59,,
Nonbleached,W118,A103,Cohort14,Ambient,20160714,20:25,569,1667,0.658,414,1190,0.652,HP,21:11,,
Nonbleached,W118,A104,Cohort15,Ambient,20160714,20:32,392,1179,0.667,395,1146,0.655,HP,21:18,,
Nonbleached,W118,A105,Cohort11,Ambient,20160714,20:21,569,1682,0.661,442,1255,0.647,HP,21:06,,
Nonbleached,W118,A106,Cohort12,High,20160714,20:42,525,1404,0.626,382,1031,0.629,HP,21:26,,
Nonbleached,W118,A107,Cohort18,Ambient,20160714,20:17,586,1712,0.657,410,1079,0.62,HP,21:03,,
Bleached,W269,A108,Cohort13,High,20160714,20:55,430,1411,0.695,429,1473,0.708,HP,21:36,,
Bleached,W269,A109,Cohort15,Ambient,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W269,A110,Cohort11,Ambient,20160714,20:19,537,1469,0.634,538,1448,0.628,HP,21:04,,
Bleached,W269,A111,Cohort16,High,20160714,20:48,602,1840,0.672,334,949,0.648,HP,21:32,,
Bleached,W269,A112,NA,NA,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Bleached,W269,A113,Cohort14,Ambient,20160714,20:27,480,1371,0.649,535,1684,0.682,HP,21:09,,
Bleached,W269,A114,Cohort18,Ambient,20160714,20:16,536,1638,0.672,561,1696,0.669,HP,21:02,,
Bleached,W269,A115,Cohort12,High,20160714,20:40,527,1606,0.671,368,1131,0.674,HP,21:25,,
Bleached,W269,A116,NA,NA,20160714,NA,NA,NA,NA,NA,NA,NA,HP,NA,,
Nonbleached,W270,A117,Cohort17,High,20160714,20:13,510,1415,0.639,627,1852,0.661,HP,20:58,,
Nonbleached,W270,A118,Cohort11,Ambient,20160714,20:22,449,1483,0.697,424,1313,0.677,HP,21:07,,
