Date,pH.10,pH.11,pH.12,pH.13,pH.14,pH.15,pH.16,pH.17,pH.18
2/24/16 11:00,7.96,8,7.89,7.97,7.95,8.05,7.92,7.92,7.96
2/24/16 11:15,7.96,8.01,7.94,7.98,7.97,8.05,7.93,7.93,7.96
2/24/16 11:30,7.96,8.01,7.96,7.99,7.97,8.06,7.93,7.94,7.97
2/24/16 11:45,7.98,7.71,7.96,8,7.98,8.06,7.94,7.94,7.97
2/24/16 12:00,10,8.02,7.85,8.01,7.99,8.07,7.94,7.95,7.98
2/24/16 12:15,8.03,8.03,7.9,8.01,8.01,8.08,7.95,7.97,8.25
2/24/16 12:30,8.04,8.04,7.92,8.02,8.03,8.1,7.96,7.98,8.01
2/24/16 12:45,8.05,8.04,7.92,8.02,8.04,8.1,7.96,7.98,8.02
2/24/16 13:00,8.05,8.04,7.94,8.04,8.04,8.11,7.96,7.99,8.02
2/24/16 13:15,8.06,8.04,7.95,8.04,8.04,8.13,7.98,8,8.03
2/24/16 13:30,8.07,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 13:45,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 14:00,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 14:15,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 14:30,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 14:45,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 15:00,8.08,8.05,7.97,8.06,8.05,8.14,7.98,8,8.03
2/24/16 15:15,8.08,8.05,7.96,8.06,8.05,8.14,7.98,8,8.03
2/24/16 15:30,8.08,8.05,7.96,8.06,8.05,8.14,7.98,7.99,8.03
2/24/16 15:45,8.08,8.06,7.96,8.06,8.03,8.14,7.98,7.99,8.03
2/24/16 16:00,8.08,8.06,7.96,8.06,8.03,8.14,7.98,7.99,8.03
2/24/16 16:15,8.08,8.06,7.96,8.06,8.03,8.14,7.98,7.99,8.03
2/24/16 16:30,8.07,8.06,7.96,8.06,8.03,8.14,7.98,7.99,8.03
2/24/16 16:45,8.07,8.06,7.96,8.04,8.03,8.11,7.98,7.98,8.03
2/24/16 17:00,8.07,8.06,7.96,8.04,8.03,8.11,7.98,7.98,8.03
2/24/16 17:15,8.07,8.06,7.95,8.04,8.02,8.11,7.98,7.98,8.03
2/24/16 17:30,8.07,8.06,7.95,8.03,8.02,8.11,7.98,7.98,8.03
2/24/16 17:45,8.07,8.06,7.95,8.03,8.02,8.1,7.98,7.98,8.03
2/24/16 18:00,8.07,8.06,7.95,8.03,8.02,8.1,7.98,7.98,8.03
2/24/16 18:15,8.06,8.06,7.93,8.03,8.02,8.1,7.98,7.97,8.03
2/24/16 18:30,8.06,8.06,7.93,8.03,8.02,8.1,7.96,7.97,8.03
2/24/16 18:45,8.06,8.06,7.93,8.03,8.01,8.1,7.96,7.96,8.01
2/24/16 19:00,8.05,8.05,7.92,8.03,8.01,8.09,7.96,7.96,8.01
2/24/16 19:15,8.05,8.05,7.92,8.03,8.01,8.09,7.95,7.95,8.01
2/24/16 19:30,8.05,8.05,7.92,8.03,8.01,8.09,7.95,7.95,8.01
2/24/16 19:45,8.05,8.05,7.91,8.03,8,8.08,7.95,7.94,8
2/24/16 20:00,8.04,8.05,7.91,8.02,8,8.08,7.94,7.94,8
2/24/16 20:15,8.04,8.05,7.91,8.02,8,8.08,7.94,7.94,8
2/24/16 20:30,8.04,8.04,7.9,8.02,8,8.08,7.94,7.93,8
2/24/16 20:45,8.04,8.04,7.9,8.02,7.99,8.07,7.94,7.93,8
2/24/16 21:00,8.03,8.04,7.9,8,7.99,8.07,7.93,7.93,7.99
2/24/16 21:15,8.03,8.04,7.89,8,7.99,8.07,7.93,7.92,7.99
2/24/16 21:30,8.03,8.04,7.89,8,7.99,8.06,7.93,7.92,7.99
2/24/16 21:45,8.03,8.04,7.89,8,7.99,8.06,7.93,7.92,7.99
2/24/16 22:00,8.02,8.04,7.88,8,7.99,8.06,7.93,7.92,7.99
2/24/16 22:15,8.02,8.04,7.88,8,7.99,8.06,7.92,7.92,7.98
2/24/16 22:30,8.02,8.02,7.88,7.99,7.99,8.06,7.92,7.92,7.98
2/24/16 22:45,8.02,8.02,7.88,8,7.99,8.06,7.92,7.92,7.98
2/24/16 23:00,8.01,8.02,7.87,7.99,7.99,8.05,7.92,7.92,7.98
2/24/16 23:15,8.01,8.02,7.87,8,7.99,8.05,7.92,7.92,7.98
2/24/16 23:30,8.01,8.02,7.87,8,7.99,8.05,7.92,7.93,7.98
2/24/16 23:45,8.01,8.02,7.87,8,7.99,8.05,7.92,7.92,7.98
2/25/16 0:00,8.01,8.02,7.86,7.99,7.98,8.05,7.92,7.91,7.98
